City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yahotyn,50.2798,31.7625,22.28,46,7,2.78,UA,1689488359
83,haiku-pauwela,20.9219,-156.3051,23.91,76,20,4.12,US,1689488379
84,blackmans bay,-43.0167,147.3167,14.29,67,66,5.63,AU,1689488379
85,iskateley,67.6803,53.1512,23.31,48,13,3.25,RU,1689488379
86,ouani,-12.1322,44.4258,24.75,72,19,8.0,KM,1689488379
87,popondetta,-8.7537,148.2534,28.98,55,8,2.47,PG,1689488379
88,kudahuvadhoo,2.6708,72.8944,28.47,73,22,2.48,MV,1689488379
89,barra do garcas,-15.89,-52.2567,19.36,55,8,1.0,BR,1689488380
90,puerto baquerizo moreno,-0.9,-89.6,25.1,80,20,4.26,EC,1689488380
91,albany,42.6001,-73.9662,23.46,91,100,1.65,US,1689488380
92,grand falls-windsor,48.9332,-55.6649,19.72,89,100,3.13,CA,1689488380
93,howrah,22.5892,88.3103,31.0,79,75,4.63,IN,1689487947
94,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,68,75,7.0,RU,1689488129
95,nikologory,56.1413,41.9922,19.7,64,96,3.88,RU,1689488400
96,vorkuta,67.5,64.0,19.84,49,19,3.61,RU,1689488419
97,santa cruz,-17.8,-63.1667,16.7,88,75,1.54,BO,1689487781
98,tobruk,32.0836,23.9764,26.58,81,6,5.33,LY,1689488438
99,floro,61.5996,5.0328,15.04,82,100,5.66,NO,1689488439
100,borinskoye,52.4569,39.3713,19.09,72,82,5.13,RU,1689488439
101,keflavik,64.0049,-22.5624,8.95,87,75,10.8,IS,1689488065
102,hermanus,-34.4187,19.2345,12.67,86,76,4.83,ZA,1689488439
103,port alfred,-33.5906,26.891,15.03,74,32,4.41,ZA,1689488439
104,hasaki,35.7333,140.8333,35.22,71,84,7.26,JP,1689488439
105,pacific grove,36.6177,-121.9166,17.36,95,75,0.45,US,1689487848
106,mpongwe,-13.5091,28.155,13.97,66,0,3.72,ZM,1689488439
107,severnoye,56.3491,78.3619,18.61,80,93,1.27,RU,1689488440
108,kodiak,57.79,-152.4072,11.73,87,100,3.6,US,1689488440
109,poronaysk,49.2167,143.1167,16.44,77,99,4.83,RU,1689488459
110,mount gambier,-37.8333,140.7667,12.52,68,91,3.34,AU,1689488459
111,jamestown,42.097,-79.2353,20.77,98,100,3.6,US,1689488315
112,atafu village,-8.5421,-172.5159,28.44,74,98,3.91,TK,1689488459
113,acajutla,13.5928,-89.8275,26.21,80,100,1.55,SV,1689488460
114,tura,25.5198,90.2201,29.61,71,98,3.19,IN,1689488479
115,freeport,40.6576,-73.5832,26.65,92,100,5.66,US,1689488285
116,fortuna,40.5982,-124.1573,14.4,95,100,0.0,US,1689488198
117,longyearbyen,78.2186,15.6401,10.91,76,0,3.09,SJ,1689488480
118,hawaiian paradise park,19.5933,-154.9731,22.73,95,100,1.54,US,1689488268
119,sydney,-33.8679,151.2073,17.02,87,75,1.54,AU,1689488053
120,yellowknife,62.456,-114.3525,16.29,63,75,2.06,CA,1689488480
121,cannonvale,-20.2833,148.7,20.66,64,42,8.71,AU,1689488480
122,safi,32.1667,-8.8333,17.74,86,3,5.96,MA,1689488481
123,nova sintra,14.8667,-24.7167,22.26,83,65,2.04,CV,1689488481
124,persembe,41.0656,37.7714,23.68,76,32,1.56,TR,1689488481
125,utrik,11.2278,169.8474,28.43,77,69,6.28,MH,1689488481
126,kerikeri,-35.2268,173.9474,14.39,86,100,1.34,NZ,1689488481
127,cabo san lucas,22.8909,-109.9124,29.78,69,45,2.92,MX,1689488482
128,verkhnevilyuysk,63.4453,120.3167,16.41,37,85,4.23,RU,1689488482
129,calderitas,18.55,-88.25,28.0,82,9,5.2,MX,1689488482
130,lepsy,46.235,78.9456,30.55,20,0,5.58,KZ,1689488482
131,nemuro,43.3236,145.575,13.18,94,100,4.05,JP,1689488483
132,manaure,11.7751,-72.4445,27.09,77,90,5.81,CO,1689488483
133,walvis bay,-22.9575,14.5053,15.09,38,0,2.09,NA,1689488483
134,sitka,57.0531,-135.33,15.94,82,40,0.0,US,1689488483
135,fort bragg,35.139,-79.006,26.78,95,100,3.09,US,1689488228
136,yerofey pavlovich,53.9667,121.9667,30.28,29,47,2.14,RU,1689488503
137,bilibino,68.0546,166.4372,28.61,28,48,2.23,RU,1689488503
138,dryden,49.7833,-92.7503,10.16,100,20,2.57,CA,1689488524
139,cyangugu,-2.4846,28.9075,19.54,57,1,0.65,RW,1689488524
140,kuta,-8.7233,115.1723,27.97,74,40,7.72,ID,1689488264
141,punta arenas,-53.15,-70.9167,1.06,80,0,6.69,CL,1689488525
142,lae,-6.7221,146.9847,27.16,79,47,3.83,PG,1689488545
143,makassar,-5.14,119.4221,32.03,58,40,4.63,ID,1689488545
144,san antonio de pale,-1.4014,5.6325,22.99,82,6,6.8,GQ,1689488564
145,thompson,55.7435,-97.8558,12.09,94,100,5.14,CA,1689488564
146,el calafate,-50.3408,-72.2768,-5.38,75,5,2.0,AR,1689488565
147,mar del plata,-38.0023,-57.5575,7.19,88,56,7.6,AR,1689488527
148,port moresby,-9.4431,147.1797,27.68,74,20,7.72,PG,1689488565
149,gamba,-2.65,10.0,19.68,95,16,1.07,GA,1689488565
150,karaton,-6.3424,106.1045,29.74,65,57,0.5,ID,1689488565
151,saudarkrokur,65.7461,-19.6394,6.19,97,100,5.54,IS,1689488565
152,voronovytsya,49.1095,28.6808,21.94,54,32,2.36,UA,1689488565
153,sechura,-5.5569,-80.8222,22.41,79,76,4.6,PE,1689488565
154,codrington,-38.2667,141.9667,13.2,64,100,5.38,AU,1689488566
155,prince george,53.9166,-122.753,17.69,67,75,1.54,CA,1689488408
156,san andres,12.5847,-81.7006,29.01,84,40,7.72,CO,1689488566
157,kilembe,0.2,30.0,20.93,49,39,1.57,UG,1689488566
158,hammerfest,70.6634,23.6821,11.25,93,75,2.57,NO,1689488585
159,sogndal,61.2283,7.1003,16.21,82,75,0.0,NO,1689488585
160,klaksvik,62.2266,-6.589,11.51,94,100,14.74,FO,1689488586
161,hirara,24.8,125.2833,31.92,70,40,9.77,JP,1689488586
162,shizuishan,39.2333,106.7694,31.87,9,0,2.63,CN,1689488518
163,bikenibeu village,1.3673,173.1241,29.98,74,20,1.54,KI,1689488586
164,hun,29.1268,15.9477,26.42,44,1,3.47,LY,1689488586
165,zabol,32.25,67.25,32.05,10,0,6.64,AF,1689488586
166,acapulco de juarez,16.8634,-99.8901,28.9,84,40,2.06,MX,1689488586
167,mahibadhoo,3.7833,72.9667,28.46,74,11,3.71,MV,1689488587
168,colonia,50.9333,6.95,20.54,61,0,4.63,DE,1689488587
169,akrehamn,59.2667,5.1833,17.78,82,75,8.75,NO,1689488587
170,ngaoundere,7.3167,13.5833,18.55,93,67,0.99,CM,1689488587
171,sal rei,16.1833,-22.9167,26.07,80,97,3.42,CV,1689488587
172,taiynsha,53.8478,69.7639,20.25,68,93,6.5,KZ,1689488588
173,conde,-7.2597,-34.9075,22.7,100,20,2.57,BR,1689488588
174,guangyuan,32.442,105.823,33.52,51,0,2.66,CN,1689488588
175,moree,-29.4667,149.85,21.69,38,30,0.74,AU,1689488588
176,ilulissat,69.2167,-51.1,4.01,100,100,0.0,GL,1689488529
177,lubuklinggau,-3.3,102.8667,32.12,56,81,0.92,ID,1689488588
178,kon tum,14.35,108.0,25.34,90,100,2.42,VN,1689488589
179,newman,37.3138,-121.0208,29.6,57,29,0.89,US,1689488589
180,kikwit,-5.041,18.8162,23.7,36,4,1.11,CD,1689488589
181,ushuaia,-54.8,-68.3,-1.19,93,100,1.03,AR,1689488609
182,hotan,37.0997,79.9269,37.04,8,16,3.29,CN,1689488609
183,karpenisi,38.9167,21.7833,23.9,57,0,2.68,GR,1689488609
184,zhanaozen,43.3,52.8,28.06,33,34,7.04,KZ,1689488609
185,askoy,60.4092,5.226,16.12,47,75,5.14,NO,1689488609
186,qaqortoq,60.7167,-46.0333,5.88,95,100,1.26,GL,1689488609
187,wewak,-3.5534,143.6268,27.92,82,97,2.64,PG,1689488609
188,sanya,18.2431,109.505,29.09,74,20,3.0,CN,1689488564
189,carnarvon,-24.8667,113.6333,21.49,32,0,2.63,AU,1689488610
190,tiksi,71.6872,128.8694,3.97,87,100,4.94,RU,1689488629
191,hadibu,12.65,54.0333,26.15,77,69,12.81,YE,1689488629
192,udachny,66.4167,112.4,16.38,31,66,4.26,RU,1689488629
193,tabou,4.423,-7.3528,24.28,88,28,2.38,CI,1689488629
194,ulsteinvik,62.3432,5.8487,17.4,78,89,4.02,NO,1689488453
195,mejit,10.2753,170.8646,28.24,71,75,5.93,MH,1689488630
196,okhotsk,59.3833,143.3,15.19,81,96,3.76,RU,1689488630
197,ta`u,-14.2336,-169.5144,27.08,77,17,8.77,AS,1689488630
198,puerto aysen,-45.4,-72.7,0.63,91,95,0.71,CL,1689488649
199,eyl,7.9803,49.8164,29.12,51,53,13.55,SO,1689488649
200,portland,45.5234,-122.6762,24.96,48,0,6.17,US,1689488065
201,halabjah,35.1778,45.9861,36.86,9,0,1.97,IQ,1689488669
202,serra branca,-6.5333,-38.2667,22.81,73,55,1.56,BR,1689488669
203,margate,51.3813,1.3862,17.17,74,54,5.81,GB,1689488669
204,dawson creek,55.7666,-120.2362,15.8,88,0,1.03,CA,1689488669
205,kwale,5.7063,6.4374,23.32,98,100,0.88,NG,1689488670
206,klyuchi,52.2667,79.1667,21.75,53,97,9.71,RU,1689488670
207,capo d'orlando,38.1435,14.7305,29.67,43,0,1.63,IT,1689488670
208,chudniv,50.052,28.1175,21.94,63,0,1.92,UA,1689488689
209,bonthe,7.5264,-12.505,24.01,89,59,0.88,SL,1689488689
210,natal,-5.795,-35.2094,25.12,88,75,2.57,BR,1689488709
211,tolanaro,-25.0319,46.9987,21.04,78,20,5.14,MG,1689488709
212,lihue,21.9789,-159.3672,26.77,77,100,7.2,US,1689488728
213,san rafael,-34.6177,-68.3301,4.07,52,6,1.11,AR,1689488728
214,tsiombe,-25.3,45.4833,20.67,49,0,4.26,MG,1689488729
215,gadzhiyevo,69.2551,33.3362,16.02,77,94,1.39,RU,1689488729
216,vryburg,-26.9566,24.7284,8.38,48,0,2.73,ZA,1689488729
217,tazovsky,67.4667,78.7,8.79,57,5,6.07,RU,1689488729
218,westport,41.1415,-73.3579,26.72,89,100,3.09,US,1689488456
219,lashio,22.9333,97.75,26.52,75,99,1.2,MM,1689488729
220,port elizabeth,-33.918,25.5701,15.16,55,0,6.17,ZA,1689488729
221,luneville,48.6,6.5,16.94,88,28,4.84,FR,1689488730
222,sao joao da barra,-21.6403,-41.0511,19.09,78,39,4.13,BR,1689488730
223,prymors'k,46.7348,36.3443,24.42,42,60,4.72,UA,1689488730
224,freetown,8.484,-13.2299,23.84,100,75,1.54,SL,1689488730
225,borogontsy,62.6683,131.1683,18.53,39,73,3.83,RU,1689488730
226,mana,5.6592,-53.7767,25.15,91,32,2.72,GF,1689488497
227,tyukhtet,56.5389,89.3011,25.12,45,43,2.38,RU,1689488730
228,ixtapa,20.7,-105.2,27.35,83,75,3.09,MX,1689488731
229,jayapura,-2.5333,140.7,29.66,72,71,2.57,ID,1689488731
230,arar,30.9753,41.0381,37.01,7,0,0.0,SA,1689488731
231,shetpe,44.1667,52.1167,22.56,60,94,4.33,KZ,1689488750
232,prince rupert,54.3161,-130.3201,16.05,96,100,2.57,CA,1689488750
233,selfoss,63.9331,-20.9971,8.91,83,95,4.72,IS,1689488751
234,songadh,21.1667,73.5667,29.17,71,98,5.08,IN,1689488751
235,charters towers,-20.1,146.2667,23.62,41,96,4.92,AU,1689488751
236,ivanovo,56.9942,40.9858,20.64,54,87,3.52,RU,1689488751
237,nha trang,12.25,109.1833,32.0,55,96,2.63,VN,1689488751
238,beli,7.8587,10.9719,22.95,95,93,0.57,NG,1689488751
239,flin flon,54.7682,-101.865,8.16,95,76,2.5,CA,1689488751
